"Countries","Adult_Literacy","Internet_Users","GDP_Per_Capita","Immunization_DPT_Children","Prevalence_HIV","Population_Growth_Annual","Infant_Mortality_Rate","School_Enrollment","High_Tech_EXP","Unemployment_Female","Urban_Population_Total"
"Comoros",NA,"6.98","1511.82603748603","87","0.1","2.38337335884995","56.4","104.97489",NA,"4.64499998092651","71.662"
"Cabo Verde",NA,"40.26","3532.99352680108","95","0.6","1.2099029339253","17.9","100.15242","0.00294880631696675","11.2110004425049","36.19"
"Costa Rica",NA,"53","10630.9979007564","91","0.3","1.08145876014323","8.3","110.78713","36.0495342201541","11.58899974823","24.059"
"Caribbean small states",NA,"48.4072687506325","10121.3104823512","93.0962733485194","1.63025555751696","0.615138206978386","17.9074884414239","100.17888",NA,"14.451276859857","49.2974815483145"
"Cuba",NA,"29.0701843656523","7050.49324868243","99","0.4","0.24155516482978","4.3","101.61048",NA,"3.13599991798401","23.139"
"Curacao",NA,NA,NA,NA,NA,"1.34764139563651",NA,NA,NA,NA,"10.557"
"Cayman Islands",NA,"74.1",NA,NA,NA,"1.36292658726405",NA,NA,NA,NA,"0"
"Cyprus",NA,"69.33","27400.802986104","99","0.1","0.732777573913945","2.4","99.15272","6.22515698476506","15.0179996490479","32.969"
"Czech Republic",NA,"74.2317116367383","19744.5586092159","97","0.1","0.105277581527518","2.5","98.63239","14.9178521816342","7.39400005340576","26.616"
"Germany",NA,"86.19","48042.5634346518","95","0.1","0.416877359168292","3.3","101.45734","16.0024056209854","4.63000011444092","22.81"
"Djibouti",NA,"10.71","1595.1463648488","78","1.4","1.7111823002921","56.1","65.11536",NA,"6.74499988555908","22.686"
"Dominica",NA,"57.5","7193.66811093706","97",NA,"0.520741233781453","26.6","117.94911",NA,NA,"30.72"
"Denmark",NA,"95.99","62548.9850174371","94","0.2","0.507053283010163","3.6","101.30037","14.4205665622217","6.82200002670288","12.59"
"Dominican Republic","91.76376","49.58","6348.83776943483","91","1","1.20412492848268","26.8","100.65453","3.72964282418433","9.47399997711182","22.33"
"Algeria",NA,"29.5","5466.42577841535","95","0.1","2.00066645791365","21.8","118.33927","0.156630406424722","17.0699996948242","29.779"
